ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
179	3.0769230769	100.0	1161467	-0.0646695767	0.0006520748138427734	Parallel	
180	3.0769230769	100.0	1650856	-0.0646695767	0.0006687641143798828	Parallel	
181	3.0769230769	100.0	7884065	-0.0646695767	0.0005781650543212891	Parallel	
182	3.1746031746	100.0	522785	0.033010521	0.0005319118499755859	Parallel	
183	3.125	100.0	9102893	-0.0165926536	0.0003609657287597656	Parallel	
184	3.9215686275	100.0	65780	0.7799759739	0.00031685829162597656	Parallel	
185	3.2258064516	100.0	7185302	0.084213798	0.0003151893615722656	Parallel	
186	3.2258064516	100.0	1714458	0.084213798	0.0003151893615722656	Parallel	
187	2.8169014085	100.0	6805741	-0.3246912451	0.00031113624572753906	Parallel	
188	3.125	100.0	1591815	-0.0165926536	0.0003120899200439453	Parallel	
189	2.9411764706	100.0	7449400	-0.200416183	0.0003142356872558594	Parallel	
190	3.2258064516	100.0	5338532	0.084213798	0.0003190040588378906	Parallel	
191	3.2786885246	100.0	4309575	0.137095871	0.0003142356872558594	Parallel	
192	3.3898305085	100.0	2936467	0.2482378549	0.00031280517578125	Parallel	
193	2.9850746269	100.0	6145022	-0.1565180267	0.0003211498260498047	Parallel	
194	3.3898305085	100.0	6997592	0.2482378549	0.0003161430358886719	Parallel	
195	3.7037037037	100.0	6901422	0.5621110501	0.0003142356872558594	Parallel	
196	3.0303030303	100.0	7641314	-0.1112896233	0.00031185150146484375	Parallel	
197	3.1746031746	100.0	7583606	0.033010521	0.00031304359436035156	Parallel	
198	2.9411764706	100.0	9522368	-0.200416183	0.00030994415283203125	Parallel	
199	2.9411764706	100.0	8710503	-0.200416183	0.0003120899200439453	Parallel	
200	4.347826087	100.0	1509404	1.2062334334	0.0003151893615722656	Parallel	
201	2.9411764706	100.0	9879138	-0.200416183	0.0004200935363769531	Parallel	
202	3.1104199067	1000.0	9414639	-0.0311727469	0.0030930042266845703	Parallel	
203	3.0816640986	1000.0	4529914	-0.059928555	0.003136157989501953	Parallel	
204	3.0816640986	1000.0	1061044	-0.059928555	0.003938198089599609	Parallel	
205	3.164556962	1000.0	8293912	0.0229643084	0.004029273986816406	Parallel	
206	3.2102728732	1000.0	153717	0.0686802196	0.004040241241455078	Parallel	
207	3.0441400304	1000.0	2891005	-0.0974526231	0.003858804702758789	Parallel	
