Experiment	Seed	Pi	Error	OFTol	Significant Figures:	ID	CntProbeLmt	CntProbe	IsCensored	RunTime	
Dart	6118159	3.1415929204	3.204e-07	5e-07	6	506	15625000000	2712.0	False	0.005529165267944336	
Dart	3336282	3.1415929204	3.204e-07	5e-07	6	507	15625000000	8136.0	False	0.016585111618041992	
Dart	4506041	3.1415934876	8.876e-07	5e-07	6	508	15625000000	15601.0	False	0.031419992446899414	
Dart	7818064	3.1415929204	3.204e-07	5e-07	6	509	15625000000	1356.0	False	0.0027768611907958984	
Dart	8646849	3.1415933158	7.158e-07	5e-07	6	510	15625000000	22381.0	False	0.04451274871826172	
Dart	1640673	3.1415929204	3.204e-07	5e-07	6	511	15625000000	21244.0	False	0.043199777603149414	
Dart	1435838	3.1415933278	7.278e-07	5e-07	6	512	15625000000	282365.0	False	0.5776400566101074	
Dart	4204689	3.1415932493	6.493e-07	5e-07	6	513	15625000000	26901.0	False	0.0552058219909668	
Dart	605629	3.1415929204	3.204e-07	5e-07	6	514	15625000000	2260.0	False	0.004511356353759766	
Dart	4619986	3.1415932593	6.593e-07	5e-07	6	515	15625000000	104440.0	False	0.2084791660308838	
Dart	6558462	3.1415929204	3.204e-07	5e-07	6	516	15625000000	1808.0	False	0.0036301612854003906	
Dart	1091344	3.1415929204	3.204e-07	5e-07	6	517	15625000000	15820.0	False	0.0319514274597168	
Dart	3940488	3.1415929204	3.204e-07	5e-07	6	518	15625000000	39324.0	False	0.0803384780883789	
Dart	7978259	3.1415931008	5.008e-07	5e-07	6	519	15625000000	49049.0	False	0.09878969192504883	
Dart	100683	3.1415934665	8.665e-07	5e-07	6	520	15625000000	48611.0	False	0.09618854522705078	
Dart	2954886	3.141592508	-9.2e-08	5e-07	6	521	15625000000	42926.0	False	0.08591246604919434	
Dart	1876467	3.1415928133	2.133e-07	5e-07	6	522	15625000000	1487858.0	False	2.958850145339966	
Dart	8127540	3.1415929204	3.204e-07	5e-07	6	523	15625000000	21696.0	False	0.04321002960205078	
Dart	3658444	3.1415929204	3.204e-07	5e-07	6	524	15625000000	1808.0	False	0.003535032272338867	
Dart	6225610	3.1415929204	3.204e-07	5e-07	6	525	15625000000	3616.0	False	0.007241725921630859	
Dart	1962911	3.1415929204	3.204e-07	5e-07	6	526	15625000000	4068.0	False	0.008173465728759766	
Dart	8399871	3.1415925706	-2.94e-08	5e-07	6	527	15625000000	50610.0	False	0.10149788856506348	
Dart	8608824	3.1415927631	1.631e-07	5e-07	6	528	15625000000	56267.0	False	0.11562180519104004	
Dart	3924734	3.1415925473	-5.27e-08	5e-07	6	529	15625000000	23723.0	False	0.04780912399291992	
Dart	649131	3.1415926266	2.66e-08	5e-07	6	530	15625000000	180758.0	False	0.37251996994018555	
Dart	8697104	3.1415925729	-2.71e-08	5e-07	6	531	15625000000	178265.0	False	0.3688371181488037	
Dart	6118872	3.1415927024	1.024e-07	5e-07	6	532	15625000000	243586.0	False	0.502199649810791	
Dart	520222	3.1415929204	3.204e-07	5e-07	6	533	15625000000	452.0	False	0.0009884834289550781	
Dart	7582135	3.1415933977	7.977e-07	5e-07	6	534	15625000000	74156.0	False	0.15245413780212402	
Dart	5030625	3.1415931006	5.006e-07	5e-07	6	535	15625000000	1423777.0	False	2.8363869190216064	
Dart	2849898	3.1415929204	3.204e-07	5e-07	6	536	15625000000	1808.0	False	0.003614187240600586	
Dart	1488379	3.1415929204	3.204e-07	5e-07	6	537	15625000000	42036.0	False	0.08353376388549805	
Dart	3779369	3.1415931042	5.042e-07	5e-07	6	538	15625000000	96290.0	False	0.19959592819213867	
Dart	1170697	3.1415928216	2.216e-07	5e-07	6	539	15625000000	448123.0	False	0.8973128795623779	
Dart	3452401	3.1415929204	3.204e-07	5e-07	6	540	15625000000	23052.0	False	0.04637336730957031	
Dart	1354215	3.1415928165	2.165e-07	5e-07	6	541	15625000000	1618253.0	False	3.331787586212158	
Dart	7455770	3.1415931867	5.867e-07	5e-07	6	542	15625000000	33229.0	False	0.06834006309509277	
Dart	3959316	3.1415933079	7.079e-07	5e-07	6	543	15625000000	45666.0	False	0.09381794929504395	
Dart	3525785	3.1415929204	3.204e-07	5e-07	6	544	15625000000	11300.0	False	0.022493362426757812	
Dart	6457198	3.1415929204	3.204e-07	5e-07	6	545	15625000000	3164.0	False	0.006369352340698242	
Dart	2578229	3.1415929204	3.204e-07	5e-07	6	546	15625000000	5876.0	False	0.011821508407592773	
Dart	1330703	3.1415932608	6.608e-07	5e-07	6	547	15625000000	77991.0	False	0.15900516510009766	
Dart	6021638	3.1415929204	3.204e-07	5e-07	6	548	15625000000	32996.0	False	0.06732034683227539	
Dart	3267587	3.1415925267	-7.33e-08	5e-07	6	549	15625000000	89920.0	False	0.18667292594909668	
Dart	1674120	3.1415929204	3.204e-07	5e-07	6	550	15625000000	452.0	False	0.0008871555328369141	
Dart	9145882	3.1415929204	3.204e-07	5e-07	6	551	15625000000	8588.0	False	0.017740726470947266	
Dart	5481316	3.141593439	8.39e-07	5e-07	6	552	15625000000	12710709.0	False	26.130133628845215	
Dart	8538711	3.1415929204	3.204e-07	5e-07	6	553	15625000000	6328.0	False	0.013006925582885742	
Dart	247201	3.1415929204	3.204e-07	5e-07	6	554	15625000000	6328.0	False	0.012914896011352539	
Dart	8532750	3.1415929204	3.204e-07	5e-07	6	555	15625000000	3164.0	False	0.00644230842590332	
Dart	6979089	3.1415926575	5.75e-08	5e-07	6	556	15625000000	33667.0	False	0.06992220878601074	
Dart	3793208	3.1415931611	5.611e-07	5e-07	6	557	15625000000	6506649.0	False	13.441930770874023	
Dart	5276011	3.1415930757	4.757e-07	5e-07	6	558	15625000000	5755345.0	False	11.843560695648193	
Dart	9318189	3.1415929204	3.204e-07	5e-07	6	559	15625000000	21696.0	False	0.04484963417053223	
Dart	1363166	3.1415934795	8.795e-07	5e-07	6	560	15625000000	63308.0	False	0.1301896572113037	
Dart	6060977	3.1415929204	3.204e-07	5e-07	6	561	15625000000	4068.0	False	0.008270025253295898	
Dart	547594	3.1415925455	-5.45e-08	5e-07	6	562	15625000000	188880.0	False	0.3886690139770508	
Dart	6436936	3.1415929204	3.204e-07	5e-07	6	563	15625000000	28928.0	False	0.058928728103637695	
Dart	10064	3.1415926477	4.77e-08	5e-07	6	564	15625000000	97385.0	False	0.19932889938354492	
Dart	7099954	3.1415929204	3.204e-07	5e-07	6	565	15625000000	36612.0	False	0.07360363006591797	
Dart	6254670	3.1415929204	3.204e-07	5e-07	6	566	15625000000	3616.0	False	0.007138490676879883	
Dart	5901224	3.1415925247	-7.53e-08	5e-07	6	567	15625000000	22367.0	False	0.044348955154418945	
Dart	9884297	3.1415929204	3.204e-07	5e-07	6	568	15625000000	22148.0	False	0.0454409122467041	
Dart	4633329	3.1415934716	8.716e-07	5e-07	6	569	15625000000	32106.0	False	0.06546664237976074	
Dart	9655863	3.1415929204	3.204e-07	5e-07	6	570	15625000000	3164.0	False	0.006449699401855469	
Dart	2000178	3.1415927174	1.174e-07	5e-07	6	571	15625000000	43611.0	False	0.08713936805725098	
Dart	6395721	3.1415934287	8.287e-07	5e-07	6	572	15625000000	17409.0	False	0.03531336784362793	
Dart	4798131	3.1415933947	7.947e-07	5e-07	6	573	15625000000	3451637.0	False	7.102957487106323	
Dart	5370956	3.1415930794	4.794e-07	5e-07	6	574	15625000000	723517.0	False	1.4908580780029297	
Dart	4633874	3.1415929204	3.204e-07	5e-07	6	575	15625000000	28476.0	False	0.05685067176818848	
Dart	3446720	3.1415927205	1.205e-07	5e-07	6	576	15625000000	88578.0	False	0.17968273162841797	
Dart	6478688	3.1415929204	3.204e-07	5e-07	6	577	15625000000	7684.0	False	0.015442848205566406	
Dart	7374993	3.1415933358	7.358e-07	5e-07	6	578	15625000000	660363.0	False	1.3573870658874512	
Dart	3094376	3.1415929204	3.204e-07	5e-07	6	579	15625000000	1356.0	False	0.002748250961303711	
Dart	5361587	3.1415927172	1.172e-07	5e-07	6	580	15625000000	348436.0	False	0.7156126499176025	
Dart	8940256	3.1415929204	3.204e-07	5e-07	6	581	15625000000	2260.0	False	0.004486560821533203	
Dart	8686890	3.1415929204	3.204e-07	5e-07	6	582	15625000000	4068.0	False	0.00818490982055664	
Dart	3417323	3.1415932238	6.238e-07	5e-07	6	583	15625000000	87483.0	False	0.17385435104370117	
Dart	3354103	3.1415926156	1.56e-08	5e-07	6	584	15625000000	377555.0	False	0.7509758472442627	
Dart	1420185	3.1415929204	3.204e-07	5e-07	6	585	15625000000	27120.0	False	0.05480003356933594	
Dart	8617770	3.141593273	6.73e-07	5e-07	6	586	15625000000	50186.0	False	0.10346817970275879	
Dart	5816960	3.1415929204	3.204e-07	5e-07	6	587	15625000000	15368.0	False	0.03090524673461914	
Dart	2825778	3.1415926545	5.45e-08	5e-07	6	588	15625000000	399484.0	False	0.8197894096374512	
Dart	4755340	3.1415926991	9.91e-08	5e-07	6	589	15625000000	39995.0	False	0.08086276054382324	
Dart	7560846	3.1415929204	3.204e-07	5e-07	6	590	15625000000	5876.0	False	0.011768102645874023	
